,NOC,Year,F,M,FP
0,AFG,2004,2.0,3.0,0.4
1,AFG,2008,1.0,3.0,0.25
2,AFG,2012,1.0,5.0,0.16666666666666666
3,AFG,2016,1.0,2.0,0.3333333333333333
4,AHO,1968,2.0,3.0,0.4
5,AHO,1984,7.0,6.0,0.5384615384615384
6,AHO,1988,1.0,3.0,0.25
7,AHO,1992,1.0,3.0,0.25
8,AHO,2000,1.0,7.0,0.125
9,ALB,1972,1.0,4.0,0.2
10,ALB,1992,2.0,7.0,0.2222222222222222
11,ALB,1996,6.0,3.0,0.6666666666666666
12,ALB,2000,3.0,2.0,0.6
13,ALB,2004,2.0,5.0,0.2857142857142857
14,ALB,2008,5.0,7.0,0.4166666666666667
15,ALB,2012,3.0,7.0,0.3
16,ALB,2016,3.0,3.0,0.5
17,ALG,1988,3.0,42.0,0.06666666666666667
18,ALG,1992,2.0,34.0,0.05555555555555555
19,ALG,1996,6.0,41.0,0.1276595744680851
20,ALG,2000,10.0,41.0,0.19607843137254902
21,ALG,2004,17.0,54.0,0.23943661971830985
22,ALG,2008,22.0,35.0,0.38596491228070173
23,ALG,2012,17.0,22.0,0.4358974358974359
24,ALG,2016,13.0,61.0,0.17567567567567569
25,AND,1992,1.0,7.0,0.125
26,AND,1996,2.0,6.0,0.25
27,AND,2000,2.0,3.0,0.4
28,AND,2004,2.0,4.0,0.3333333333333333
29,AND,2008,2.0,3.0,0.4
30,AND,2012,2.0,4.0,0.3333333333333333
31,AND,2016,2.0,2.0,0.5
32,ANG,1980,2.0,15.0,0.11764705882352941
33,ANG,1988,11.0,22.0,0.3333333333333333
34,ANG,1992,6.0,27.0,0.18181818181818182
35,ANG,1996,17.0,13.0,0.5666666666666667
36,ANG,2000,15.0,15.0,0.5
37,ANG,2004,16.0,14.0,0.5333333333333333
38,ANG,2008,15.0,18.0,0.45454545454545453
39,ANG,2012,29.0,6.0,0.8285714285714286
40,ANG,2016,18.0,8.0,0.6923076923076923
41,ANT,1984,8.0,19.0,0.2962962962962963
42,ANT,1988,4.0,21.0,0.16
43,ANT,1992,5.0,13.0,0.2777777777777778
44,ANT,1996,11.0,8.0,0.5789473684210527
45,ANT,2000,2.0,2.0,0.5
46,ANT,2004,2.0,3.0,0.4
47,ANT,2008,1.0,4.0,0.2
48,ANT,2012,2.0,2.0,0.5
49,ANT,2016,2.0,7.0,0.2222222222222222
50,ANZ,1912,2.0,36.0,0.05263157894736842
51,ARG,1936,1.0,67.0,0.014705882352941176
52,ARG,1948,20.0,275.0,0.06779661016949153
53,ARG,1952,18.0,156.0,0.10344827586206896
54,ARG,1956,1.0,43.0,0.022727272727272728
55,ARG,1960,1.0,115.0,0.008620689655172414
56,ARG,1964,11.0,137.0,0.07432432432432433
57,ARG,1968,9.0,123.0,0.06818181818181818
58,ARG,1972,10.0,113.0,0.08130081300813008
59,ARG,1976,18.0,88.0,0.16981132075471697
60,ARG,1984,17.0,98.0,0.14782608695652175
61,ARG,1988,32.0,102.0,0.23880597014925373
62,ARG,1992,29.0,82.0,0.26126126126126126
63,ARG,1996,69.0,152.0,0.31221719457013575
64,ARG,2000,52.0,113.0,0.3151515151515151
65,ARG,2004,55.0,124.0,0.30726256983240224
66,ARG,2008,56.0,89.0,0.38620689655172413
67,ARG,2012,45.0,103.0,0.30405405405405406
68,ARG,2016,82.0,150.0,0.35344827586206895
69,ARM,1996,2.0,36.0,0.05263157894736842
70,ARM,2000,2.0,24.0,0.07692307692307693
71,ARM,2004,2.0,17.0,0.10526315789473684
72,ARM,2008,2.0,24.0,0.07692307692307693
73,ARM,2012,4.0,27.0,0.12903225806451613
74,ARM,2016,10.0,24.0,0.29411764705882354
75,ARU,1988,7.0,5.0,0.5833333333333334
76,ARU,1992,1.0,4.0,0.2
77,ARU,2000,2.0,3.0,0.4
78,ARU,2004,1.0,3.0,0.25
79,ARU,2012,1.0,3.0,0.25
80,ARU,2016,4.0,3.0,0.5714285714285714
81,ASA,1996,1.0,6.0,0.14285714285714285
82,ASA,2000,1.0,3.0,0.25
83,ASA,2004,1.0,2.0,0.3333333333333333
84,ASA,2008,2.0,2.0,0.5
85,ASA,2012,1.0,3.0,0.25
86,ASA,2016,1.0,3.0,0.25
87,AUS,1920,3.0,26.0,0.10344827586206896
88,AUS,1924,1.0,59.0,0.016666666666666666
89,AUS,1928,7.0,22.0,0.2413793103448276
90,AUS,1932,5.0,15.0,0.25
91,AUS,1936,6.0,33.0,0.15384615384615385
92,AUS,1948,18.0,85.0,0.17475728155339806
93,AUS,1952,18.0,122.0,0.12857142857142856
94,AUS,1956,71.0,341.0,0.17233009708737865
95,AUS,1960,56.0,224.0,0.2
96,AUS,1964,91.0,301.0,0.23214285714285715
97,AUS,1968,61.0,163.0,0.27232142857142855
98,AUS,1972,73.0,193.0,0.2744360902255639
99,AUS,1976,71.0,203.0,0.2591240875912409
100,AUS,1980,59.0,131.0,0.3105263157894737
101,AUS,1984,110.0,227.0,0.3264094955489614
