Sport,Year,Age,Height,Weight,BMI
Alpine Skiing,1936,24.89189189189189,158.5,51.0,1.4271412791449811
Alpine Skiing,1948,24.258064516129032,166.28571428571428,56.285714285714285,1.4310131552532446
Alpine Skiing,1952,23.181102362204726,171.13333333333333,60.0,1.4402482499022309
Alpine Skiing,1956,23.541666666666668,165.30769230769232,58.84615384615385,1.5138654640627378
Alpine Skiing,1960,21.697674418604652,162.28571428571428,58.77142857142857,1.5687761914798655
Alpine Skiing,1964,21.666666666666668,164.03,59.35,1.5507060401892143
Alpine Skiing,1968,20.451851851851853,165.6590909090909,59.13636363636363,1.5148840509968082
Alpine Skiing,1972,20.248,165.184,57.928,1.4924778774637055
Alpine Skiing,1976,19.192,166.54054054054055,58.588235294117645,1.4849977725901862
Alpine Skiing,1980,20.252032520325205,166.30208333333334,58.2967032967033,1.4818489653776559
Alpine Skiing,1984,20.770992366412212,165.73553719008265,59.70940170940171,1.528152738355486
Alpine Skiing,1988,21.103734439834025,165.46745562130178,59.650887573964496,1.531605994545452
Alpine Skiing,1992,21.873563218390803,167.3551912568306,62.49726775956284,1.5686930754643535
Alpine Skiing,1994,22.056910569105693,167.90748898678413,63.25110132158591,1.5771873423306293
Alpine Skiing,1998,22.6875,168.2341463414634,65.27586206896552,1.6213607056605621
Alpine Skiing,2002,23.572580645161292,167.4672131147541,65.0326530612245,1.6301486571136077
Alpine Skiing,2006,23.0561797752809,168.14232209737827,65.46067415730337,1.6277275603847914
Alpine Skiing,2010,23.480263157894736,168.32894736842104,64.7467105263158,1.606406373952026
Alpine Skiing,2014,24.13201320132013,169.08695652173913,64.97517730496453,1.5976534591147165
Biathlon,1992,23.167567567567566,167.5194805194805,58.142857142857146,1.4565354495406693
Biathlon,1994,24.461165048543688,167.47058823529412,57.93582887700535,1.4521967423796314
Biathlon,1998,24.622448979591837,166.8877551020408,58.02040816326531,1.4644925244225377
Biathlon,2002,26.07782101167315,165.8171206225681,56.525291828793776,1.4452380907345714
Biathlon,2006,27.304615384615385,165.74153846153845,56.38153846153846,1.442877680893778
Biathlon,2010,26.530791788856305,166.70967741935485,57.21407624633431,1.447226789498518
Biathlon,2014,26.31728045325779,166.52691218130312,57.72910662824207,1.4634615052618996
Bobsleigh,2002,28.3,173.63333333333333,71.06666666666666,1.6571242213690063
Bobsleigh,2006,28.0,172.0625,71.21875,1.691130858928918
Bobsleigh,2010,27.30952380952381,173.1904761904762,73.61904761904762,1.7254306451828723
Bobsleigh,2014,27.897435897435898,173.74358974358975,74.56410256410257,1.7364710193209174
Cross Country Skiing,1952,24.85,166.0,59.7,1.523047612135288
Cross Country Skiing,1956,23.485714285714284,164.95652173913044,60.44,1.5614957251538022
Cross Country Skiing,1960,26.128205128205128,163.9655172413793,58.607142857142854,1.5325012166695338
Cross Country Skiing,1964,25.593406593406595,164.34782608695653,58.696969696969695,1.527717586972437
Cross Country Skiing,1968,27.17391304347826,164.54545454545453,58.970588235294116,1.5311544663040884
Cross Country Skiing,1972,24.85593220338983,163.11864406779662,56.48728813559322,1.4924467517088063
Cross Country Skiing,1976,23.427419354838708,164.3009708737864,56.26,1.4651253859934859
Cross Country Skiing,1980,23.97222222222222,165.46808510638297,55.87765957446808,1.4347130560702062
Cross Country Skiing,1984,24.291666666666668,166.23076923076923,56.514792899408285,1.437787277343664
Cross Country Skiing,1988,24.090476190476192,168.80864197530863,57.916666666666664,1.4287937156831516
Cross Country Skiing,1992,24.94326241134752,166.748987854251,56.526315789473685,1.4291558536520248
Cross Country Skiing,1994,25.289285714285715,168.2846153846154,57.85961538461538,1.43628967477979
Cross Country Skiing,1998,26.020588235294117,167.17717717717719,57.288288288288285,1.441010666831787
Cross Country Skiing,2002,26.375706214689266,166.91666666666666,57.589080459770116,1.4531018731771161
Cross Country Skiing,2006,26.016393442622952,166.97540983606558,57.92622950819672,1.4605806725861645
Cross Country Skiing,2010,26.806267806267805,166.79772079772079,57.721739130434784,1.4585271200439627
Cross Country Skiing,2014,27.224137931034484,166.8477011494253,57.774480712166174,1.458985316660506
